lat,lon,direction
39.5747594,-104.7344055,315
39.6826118,-104.7129862,155;140
39.6822872,-104.712682,345
39.682543,-104.703457,170
39.6917083,-104.7146711,290
39.6912911,-104.7138805,90
39.6940834,-104.6982652,250
39.6939402,-104.6983529,70
39.6963218,-104.7080159,155
39.6960666,-104.707778,335
39.6962934,-104.7009771,170
39.6961511,-104.7007947,345
39.6883444,-104.6981205,235
39.7185826,-104.7055387,340
39.7190895,-104.7128484,35
39.7230668,-104.7096463,95
39.7184411,-104.6963453,35
39.7187044,-104.6963349,220
39.7181978,-104.688364,60
39.7184457,-104.6882269,250
39.7402355,-104.8102745,260
39.7402628,-104.8098403,350
39.7399167,-104.8097929,80
39.7398549,-104.8102393,170
39.7403616,-104.7910789,350
39.7399777,-104.7914386,170
39.8561327,-105.0583909,180
39.6186577,-104.6978674,290
39.6185979,-104.698271,85
39.5959521,-104.6720965,280
39.596363,-104.6717809,270
39.551373,-104.741221,250
39.619877,-104.9233545,135
39.7516867,-105.0027336,15
39.7590387,-104.9937324,125
39.833283,-104.681557,65
39.715027,-105.2560796,35
39.7910326,-105.083326,60
39.7268157,-105.0395351,25
39.7233341,-105.0534417,160
39.7238851,-105.0816426,174;187
39.6220589,-105.0902094,155
39.5612494,-104.959981,175
39.5971257,-104.8852142,320
39.6383674,-105.0532594,350
39.6385864,-105.0535035,175
39.6101846,-105.0569619,0
39.6186973,-105.0839574,245
39.6395165,-105.1287585,338-48
39.6220766,-105.0890769,180
39.7404413,-105.0811671,330
39.7404181,-105.0815386,254
39.5969444,-104.8805958,100
39.596948,-104.8805652,280
39.596385,-104.8807102,120
39.5955318,-104.8786771,135
39.5955111,-104.8786734,0
39.7437722,-104.8464075,110
39.7509827,-104.8461084,70
39.7545322,-104.8470498,160
39.7590974,-104.8467334,340
39.7709804,-104.8467585,320
39.7981434,-104.8468888,75
39.802211,-104.9036489,240
39.8131724,-104.9069759,330
39.8128244,-104.9127747,70
39.8218287,-104.9128526,160
39.8242709,-104.9126875,340
39.8272981,-104.9127661,250
39.8273906,-104.9034607,240
39.6249994,-105.1886873,120
39.7238328,-104.7142046,22
39.7254679,-104.7139419,180
39.6270818,-104.8029108,95
39.8633631,-104.9993152,60
39.8561158,-105.0057305,60
39.8636074,-105.026302,240
39.7113209,-105.0249578,0
39.711001,-105.0252153,160
39.711035,-105.0248572,80
39.7250031,-105.025291,160
39.7250009,-105.0251443,160
39.7259005,-105.0248586,0
39.7258993,-105.024918,0
39.725897,-105.0249667,0
39.7402457,-104.9409158,235
39.7401926,-104.9860483,335
39.7182432,-105.1680432,250;15
39.617058,-105.0444007,25;125
39.6281149,-105.0442589,120;230
39.5613542,-105.1097877,330
39.5664048,-105.0843837,240
39.6603175,-104.9971429,
39.6868609,-104.822322,240
39.6251248,-105.1553234,115
39.9152436,-105.0575629,315
39.9156579,-105.0564674,290
39.9156571,-105.0564577,80
39.9164735,-105.0562794,245
39.5650097,-104.6607269,170
39.8238913,-104.903658,265
39.8270986,-104.9094918,70
39.8271553,-104.9050295,65
39.8184604,-104.903644,270
39.8111821,-104.9038965,260
